zip_code,infection_score
60007,10
61282,Not Available
60153,5
61201,6
60611,0
60115,Not Available
60515,10
62062,Not Available
60169,10
60010,10
60139,10
62864,Not Available
60440,0
46131,Not Available
46402,7
46320,10
46122,10
46902,0
46312,0
47130,10
46904,0
46952,Not Available
46545,2
46360,0
46804,4
46514,1
46845,3
47933,Not Available
47804,2
46202,0
46526,Not Available
47362,Not Available
46342,6
46383,10
46140,Not Available
47591,0
47150,7
46706,Not Available
47802,Not Available
46802,Not Available
47374,4
47403,0
46202,0
46158,Not Available
46601,6
46060,Not Available
47501,Not Available
47331,Not Available
47274,Not Available
47250,Not Available
46947,Not Available
46219,0
46714,Not Available
47747,0
46260,3
47025,Not Available
46016,5
46219,3
46311,4
46750,Not Available
46176,Not Available
47750,3
46725,Not Available
46052,Not Available
47905,0
47201,0
46011,0
47546,Not Available
46321,7
46307,0
46227,10
46580,Not Available
46755,Not Available
47630,Not Available
46825,Not Available
46290,Not Available
46032,Not Available
46123,0
46278,Not Available
46032,0
46237,2
46321,Not Available
46307,Not Available
46845,Not Available
46804,Not Available
46256,1
47150,Not Available
47905,7
47630,Not Available
46545,Not Available
46037,Not Available
46240,Not Available
51401,Not Available
52632,Not Available
52761,Not Available
50501,0
50316,3
51503,0
52245,Not Available
50010,2
50208,Not Available
52803,5
50613,Not Available
52402,10
51503,Not Available
52655,0
52242,5
50401,0
50702,3
52001,10
52403,0
52732,Not Available
50265,2
50314,1
52501,Not Available
50314,Not Available
52722,Not Available
50703,10
51301,Not Available
52001,Not Available
52627,Not Available
51360,Not Available
51104,2
50112,Not Available
51101,10
66762,Not Available
66048,Not Available
67401,10
67601,10
66067,Not Available
66606,0
67042,Not Available
67502,0
67846,Not Available
67124,Not Available
66103,0
66061,10
66701,Not Available
67901,Not Available
66441,Not Available
66604,1
66839,Not Available
67114,Not Available
66204,5
67460,Not Available
66071,Not Available
67357,Not Available
67214,1
67214,0
66048,Not Available
66044,Not Available
66502,Not Available
67337,Not Available
66112,3
67005,Not Available
67801,Not Available
66215,5
66209,0
67226,Not Available
66213,Not Available
67226,Not Available
67401,Not Available
66211,Not Available
66502,Not Available
67530,Not Available
67226,Not Available
67002,Not Available
67235,Not Available
66739,Not Available
41075,0
41858,Not Available
42345,Not Available
41653,Not Available
41101,1
40504,7
40741,10
42701,4
42101,0
40065,Not Available
42141,1
40351,Not Available
41056,Not Available
40965,Not Available
40977,Not Available
40033,Not Available
40004,Not Available
42071,Not Available
41701,0
41017,10
41101,10
42304,0
40202,2
40962,Not Available
41501,0
41042,0
40361,Not Available
40422,0
40475,Not Available
40831,Not Available
42241,Not Available
41041,Not Available
42420,0
40353,Not Available
42276,Not Available
40536,0
41503,Not Available
42754,Not Available
41240,Not Available
41031,Not Available
40701,6
42718,Not Available
40202,0
40391,Not Available
42431,5
40324,Not Available
42003,10
40503,4
42003,0
42167,Not Available
42602,Not Available
40456,Not Available
42066,Not Available
42104,Not Available
40601,Not Available
41230,Not Available
40207,8
42503,0
40031,Not Available
41339,Not Available
40202,0
40509,0
42728,Not Available
70503,1
70301,0
70112,8
70506,Not Available
71457,Not Available
70360,10
71202,10
70663,Not Available
70380,Not Available
70403,8
70570,2
71301,0
70791,Not Available
71301,0
70601,10
70510,Not Available
70121,0
70072,0
70458,1
71105,10
70526,0
70433,0
70115,0
70634,Not Available
70546,Not Available
70560,Not Available
70601,0
70808,0
70806,0
70070,Not Available
71270,0
71075,Not Available
71130,0
71351,Not Available
70508,0
71103,0
71040,Not Available
71220,Not Available
71052,Not Available
71201,1
70817,5
71055,Not Available
70011,0
71269,Not Available
71291,0
71446,Not Available
70586,Not Available
70112,1
70433,3
70363,10
71418,Not Available
70605,Not Available
70816,3
70461,0
70508,10
71254,Not Available
71111,0
70737,Not Available
71201,Not Available
70445,Not Available
70508,Not Available
70508,Not Available
70508,Not Available
70810,Not Available
70458,Not Available
70065,0
71101,Not Available
71446,Not Available
71301,Not Available
70403,Not Available
70043,0
70427,Not Available
4401,Not Available
4101,10
4102,6
4769,Not Available
4005,0
3909,Not Available
4011,Not Available
4240,3
4736,Not Available
4401,2
4240,0
4938,Not Available
4330,0
4901,Not Available
4605,Not Available
4743,Not Available
4856,Not Available
1453,7
2138,6
2703,5
1842,0
2139,5
2601,6
1061,10
1301,Not Available
2124,Not Available
1550,Not Available
2721,5
1040,Not Available
1950,10
1069,Not Available
2118,6
1915,6
1970,2
2135,2
1201,5
1752,10
1082,Not Available
2302,4
1510,Not Available
2360,2
1605,10
1854,4
1086,Not Available
1104,0
2176,4
2114,2
2780,2
2720,3
2114,Not Available
1199,1
1844,0
2494,Not Available
1742,10
2215,1
2120,10
1757,10
1440,0
1432,Not Available
2190,3
2462,1
1890,5
2186,10
2115,2
2301,5
2111,3
2130,6
2062,10
2540,0
1655,1
1805,2
1701,0
1608,2
48154,7
49464,Not Available
49221,Not Available
49093,Not Available
49007,4
48075,0
48124,0
49085,5
49036,Not Available
48235,0
48341,0
48801,Not Available
48060,Not Available
48838,Not Available
49707,Not Available
49242,Not Available
49503,1
49058,Not Available
48708,0
48109,0
48038,8
48202,3
49855,2
49801,Not Available
49738,Not Available
49503,3
49442,10
48843,Not Available
48602,4
49423,3
49016,0
48601,2
49098,Not Available
48858,Not Available
49601,Not Available
49090,Not Available
48230,0
49201,10
48661,Not Available
49091,Not Available
49684,4
48162,0
48764,Not Available
48201,0
49770,3
49930,Not Available
49048,5
48413,Not Available
48867,Not Available
48073,2
48503,0
49735,Not Available
48532,3
48184,0
48192,6
48336,0
48106,5
48236,0
48910,7
49417,Not Available
48183,10
48617,Not Available
48446,1
48093,1
48439,1
48342,10
48811,Not Available
48061,3
49068,Not Available
48670,10
48043,5
48912,3
49519,7
49783,Not Available
48054,Not Available
48135,5
48307,3
48118,Not Available
48085,0
48180,Not Available
48201,0
48382,0
48201,0
48322,2
49660,Not Available
55422,0
55805,8
55415,0
55904,Not Available
55902,4
55057,Not Available
55066,Not Available
55805,Not Available
55008,Not Available
56187,Not Available
56308,Not Available
56303,0
55102,3
55746,Not Available
55987,Not Available
55805,10
55092,Not Available
56537,Not Available
55426,7
55387,Not Available
55407,7
55033,Not Available
55102,3
55744,Not Available
55082,Not Available
55060,Not Available
55021,Not Available
56401,Not Available
55313,Not Available
55435,7
55454,3
55792,Not Available
56201,Not Available
56002,10
56601,10
56501,Not Available
55379,Not Available
55101,3
55433,6
55432,10
55371,Not Available
56031,Not Available
55350,Not Available
55337,10
55109,6
55125,10
55369,10
39216,0
38852,Not Available
38801,0
38652,Not Available
39530,10
38834,8
39502,4
39744,Not Available
38821,Not Available
39183,0
38655,8
39452,Not Available
39046,Not Available
39567,0
38614,Not Available
39350,Not Available
38829,Not Available
39216,3
39759,Not Available
39601,Not Available
39440,6
39773,Not Available
39301,2
39204,6
39367,Not Available
39404,3
38704,5
39120,Not Available
39429,Not Available
38732,Not Available
39402,Not Available
38751,Not Available
39042,Not Available
39649,10
39703,10
39202,6
39301,2
39466,Not Available
39503,Not Available
39111,Not Available
38668,Not Available
38606,Not Available
39208,10
38671,7
39301,10
39520,Not Available
38654,Not Available
38901,Not Available
64804,0
63301,7
64506,0
65301,Not Available
65109,10
63857,Not Available
65401,Not Available
63141,0
63501,Not Available
63019,10
65483,Not Available
63401,Not Available
64132,3
63110,1
64730,Not Available
65802,4
65101,Not Available
64108,0
64468,Not Available
63090,Not Available
64429,Not Available
65536,Not Available
64772,Not Available
64154,Not Available
65265,Not Available
65804,5
65201,0
63851,Not Available
65270,Not Available
63128,0
65775,Not Available
63026,0
64114,0
63117,0
65615,1
64057,5
64116,0
64093,Not Available
64139,10
63044,0
63110,2
63131,0
63701,2
63801,Not Available
63901,0
64804,4
64111,0
65201,0
65340,Not Available
63141,Not Available
63640,Not Available
64735,Not Available
63122,Not Available
64068,4
63017,4
63136,8
63703,0
65065,Not Available
64063,Not Available
63376,Not Available
64014,Not Available
65613,Not Available
63367,0
63118,10
64012,Not Available
64086,10
63368,Not Available
63901,Not Available
59601,0
59101,0
59405,10
59802,10
59701,Not Available
59804,Not Available
59501,Not Available
59107,0
59901,10
59715,Not Available
59405,Not Available
59901,Not Available
68506,2
68848,10
68198,0
68510,0
68803,0
68131,0
68901,Not Available
68114,8
68124,1
69361,Not Available
69101,Not Available
68025,Not Available
68122,6
68046,Not Available
68602,Not Available
68701,Not Available
68506,Not Available
68526,Not Available
68144,Not Available
